NROGAR,DESC TIPGAR,MONEDA,M GARANTIA MO,M GARANTIA MN,SEGMENTO,may_1MM
4824,CUENTAS EN GTIA,PEN,2400,2400,Banca Minorista,0
4825,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
4826,DEPOSITO A PLAZO,PEN,32205.31,32205.31,Banca Minorista,0
4827,CUENTAS EN GTIA,PEN,3600,3600,Banca Minorista,0
4828,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
4829,DEPOSITO A PLAZO,PEN,0,0,Banca Minorista,0
4830,FONDO MUTUO,PEN,2400,2400,Banca Minorista,0
4831,FONDO MUTUO,PEN,2255,2255,Banca Minorista,0
4832,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
4833,FONDO MUTUO,PEN,1000,1000,Banca Minorista,0
4834,DEPOSITO A PLAZO,PEN,185128.9,185128.9,Banca Minorista,0
4835,FONDO MUTUO,PEN,1000,1000,Banca Minorista,0
4836,FONDO MUTUO,PEN,12000,12000,Banca Minorista,0
4837,DEPOSITO A PLAZO,PEN,16200,16200,Banca Minorista,0
4838,CUENTAS EN GTIA,PEN,13700,13700,Banca Minorista,0
4839,CUENTAS EN GTIA,PEN,5160,5160,Banca Minorista,0
4840,CUENTAS EN GTIA,PEN,1800,1800,Banca Minorista,0
4841,FONDO MUTUO,PEN,44000,44000,Banca Minorista,0
4842,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
4843,DEPOSITO A PLAZO,PEN,20000,20000,Banca Minorista,0
4844,FONDO MUTUO,PEN,6600,6600,Banca Minorista,0
4845,DEPOSITO A PLAZO,USD,0,0,Banca Minorista,0
4846,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
4847,FONDO MUTUO,PEN,49830,49830,Banca Minorista,0
4848,DEPOSITO A PLAZO,PEN,0,0,Banca Minorista,0
4849,FONDO MUTUO,PEN,12000,12000,Banca Minorista,0
4850,CUENTAS EN GTIA,PEN,1000,1000,Banca Minorista,0
4851,FONDO MUTUO,PEN,3000,3000,Banca Minorista,0
4852,FONDO MUTUO,PEN,6600,6600,Banca Minorista,0
4853,FONDO MUTUO,PEN,8800,8800,Banca Minorista,0
4854,CUENTAS EN GTIA,PEN,880,880,Banca Minorista,0
4855,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
4856,CUENTAS EN GTIA,USD,1562,5182.716,Banca Minorista,0
4857,CUENTAS EN GTIA,PEN,1800,1800,Banca Minorista,0
4858,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
4859,FONDO MUTUO,PEN,990,990,Banca Minorista,0
