NROGAR;DESC TIPGAR;MONEDA; M GARANTIA MO ; M GARANTIA MN ; SEGMENTO ; may_1MM 
18833;CUENTAS EN GTIA;PEN; 1,300 ; 1,300 ;Banca Minorista;0
18834;CUENTAS EN GTIA;PEN; 984 ; 984 ;Banca Minorista;0
18835;DEPOSITO A PLAZO;PEN; 6,000 ; 6,000 ;Banca Minorista;0
18836;DEPOSITO A PLAZO;PEN; 4,000 ; 4,000 ;Banca Minorista;0
18837;DEPOSITO A PLAZO;PEN; 17,620 ; 17,620 ;Banca Minorista;0
18838;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18839;DEPOSITO A PLAZO;PEN; 344,700 ; 344,700 ;Banca Minorista;0
18840;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18841;CUENTAS EN GTIA;PEN; 960 ; 960 ;Banca Minorista;0
18842;FONDO MUTUO;PEN; 129,580 ; 129,580 ;Banca Minorista;0
18843;DEPOSITO A PLAZO;PEN; 2,000 ; 2,000 ;Banca Minorista;0
18844;FONDO MUTUO;PEN; 900 ; 900 ;Banca Minorista;0
18845;DEPOSITO A PLAZO;USD; 117,500 ; 389,865 ;Banca Minorista;0
18846;DEPOSITO A PLAZO;USD; -   ; -   ;Banca Minorista;0
18847;DEPOSITO A PLAZO;USD; -   ; -   ;Banca Minorista;0
18848;DEPOSITO A PLAZO;PEN; 26,000 ; 26,000 ;Banca Minorista;0
18849;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18850;CUENTAS EN GTIA;USD; 365 ; 1,211 ;Banca Minorista;0
18851;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18852;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18853;FONDO MUTUO;PEN; 12,000 ; 12,000 ;Banca Minorista;0
18854;CUENTAS EN GTIA;PEN; 828 ; 828 ;Banca Minorista;0
18855;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18856;CUENTAS EN GTIA;PEN; 5,004 ; 5,004 ;Banca Minorista;0
18857;DEPOSITO A PLAZO;PEN; 10,000 ; 10,000 ;Banca Minorista;0
18858;DEPOSITO A PLAZO;PEN; 16,682 ; 16,682 ;Banca Minorista;0
18859;DEPOSITO A PLAZO;PEN; -   ; -   ;Banca Minorista;0
18860;DEPOSITO A PLAZO;PEN; -   ; -   ;Banca Minorista;0
18861;DEPOSITO A PLAZO;PEN; 5,500 ; 5,500 ;Banca Minorista;0
18862;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18863;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18864;DEPOSITO A PLAZO;PEN; 40,000 ; 40,000 ;Banca Minorista;0
18865;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18866;CUENTAS EN GTIA;PEN; 17,346 ; 17,346 ;Banca Minorista;0
18867;CUENTAS EN GTIA;PEN; 4,800 ; 4,800 ;Banca Minorista;0
18868;DEPOSITO A PLAZO;PEN; 23,974 ; 23,974 ;Banca Minorista;0
18869;DEPOSITO A PLAZO;PEN; 29,427 ; 29,427 ;Banca Minorista;0
18870;DEPOSITO A PLAZO;PEN; 7,000 ; 7,000 ;Banca Minorista;0
18871;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18872;FONDO MUTUO;PEN; 2,500 ; 2,500 ;Banca Minorista;0
18873;DEPOSITO A PLAZO;PEN; 10,000 ; 10,000 ;Banca Minorista;0
